$C$	$d=0.1$	$d=0.3$	$d=0.5$	$d=0.7$	$d=0.9$
1555000000	1.94396(96)	0.55170(43)	0.26177(25)	0.119332(88)	0.03584(12)
1560000000	1.94397(95)	0.55170(42)	0.26177(26)	0.119329(90)	0.03584(12)
1565000000	1.94406(96)	0.55172(41)	0.26178(25)	0.119331(91)	0.03584(12)
1570000000	1.94400(96)	0.55170(41)	0.26178(26)	0.119329(92)	0.03584(12)
1575000000	1.94399(90)	0.55173(41)	0.26177(26)	0.119336(86)	0.03584(12)
1580000000	1.94395(90)	0.55174(42)	0.26177(26)	0.119338(86)	0.03584(12)
1585000000	1.94391(91)	0.55174(41)	0.26177(26)	0.119335(88)	0.03584(12)
1590000000	1.94390(91)	0.55173(41)	0.26177(26)	0.119330(85)	0.03584(12)
1595000000	1.94389(92)	0.55175(41)	0.26176(26)	0.119339(87)	0.03584(12)
1600000000	1.94388(91)	0.55176(41)	0.26175(26)	0.119343(87)	0.03584(12)
1605000000	1.94386(88)	0.55176(40)	0.26175(26)	0.119355(89)	0.03584(12)
1610000000	1.94369(90)	0.55174(40)	0.26174(26)	0.119362(87)	0.03584(12)
1615000000	1.94375(90)	0.55170(40)	0.26173(25)	0.119363(88)	0.03584(12)
1620000000	1.94378(90)	0.55171(41)	0.26175(25)	0.119365(88)	0.03584(12)
1625000000	1.94371(92)	0.55172(41)	0.26176(25)	0.119365(88)	0.03584(12)
1630000000	1.94367(92)	0.55172(41)	0.26175(25)	0.119369(89)	0.03584(12)
1635000000	1.94374(95)	0.55173(41)	0.26176(25)	0.119373(89)	0.03584(12)
1640000000	1.94365(97)	0.55176(41)	0.26176(25)	0.119379(89)	0.03585(12)
1645000000	1.94345(96)	0.55176(41)	0.26176(24)	0.119381(90)	0.03585(12)
1650000000	1.94351(98)	0.55177(42)	0.26177(24)	0.119375(89)	0.03584(12)
1655000000	1.94354(98)	0.55178(42)	0.26177(25)	0.119377(90)	0.03585(12)
1660000000	1.94363(95)	0.55180(42)	0.26177(26)	0.119382(95)	0.03585(12)
1665000000	1.94361(91)	0.55181(42)	0.26178(26)	0.119387(97)	0.03585(12)
1670000000	1.94361(93)	0.55186(42)	0.26177(26)	0.119390(98)	0.03585(12)
1675000000	1.94356(95)	0.55188(42)	0.26179(26)	0.119386(99)	0.03585(12)
1680000000	1.94369(95)	0.55188(44)	0.26178(27)	0.119390(99)	0.03585(12)
1685000000	1.94355(97)	0.55185(44)	0.26177(26)	0.119400(97)	0.03585(12)
1690000000	1.9436(11)	0.55185(44)	0.26177(27)	0.119405(98)	0.03585(12)
1695000000	1.94372(100)	0.55184(43)	0.26177(27)	0.119408(97)	0.03585(12)
1700000000	1.94375(100)	0.55184(42)	0.26178(27)	0.119413(98)	0.03585(11)
1705000000	1.94376(95)	0.55184(41)	0.26178(28)	0.119416(99)	0.03585(11)
1710000000	1.94368(95)	0.55185(40)	0.26177(28)	0.119411(99)	0.03586(11)
1715000000	1.94353(93)	0.55186(39)	0.26178(28)	0.119411(97)	0.03586(11)
1720000000	1.94350(90)	0.55188(39)	0.26177(29)	0.119406(97)	0.03586(11)
1725000000	1.94350(88)	0.55190(40)	0.26177(29)	0.119409(96)	0.03586(11)
1730000000	1.94348(90)	0.55193(40)	0.26178(29)	0.119416(96)	0.03586(11)
1735000000	1.94346(88)	0.55197(40)	0.26178(29)	0.119419(96)	0.03587(11)
1740000000	1.94340(92)	0.55198(40)	0.26179(29)	0.119424(99)	0.03587(11)
1745000000	1.94338(92)	0.55202(39)	0.26180(29)	0.11943(11)	0.03587(11)
1750000000	1.94334(92)	0.55198(39)	0.26180(29)	0.119436(100)	0.03587(11)
1755000000	1.94333(93)	0.55197(38)	0.26179(29)	0.119442(100)	0.03588(11)
1760000000	1.94338(96)	0.55194(38)	0.26178(29)	0.11944(11)	0.03588(11)
1765000000	1.94342(95)	0.55191(37)	0.26177(30)	0.119437(99)	0.03588(11)
1770000000	1.94347(96)	0.55191(37)	0.26175(30)	0.11944(11)	0.03588(11)
1775000000	1.94349(94)	0.55191(36)	0.26175(30)	0.11943(11)	0.03588(11)
1780000000	1.94352(96)	0.55190(36)	0.26176(30)	0.11943(11)	0.03588(11)
1785000000	1.94345(93)	0.55190(36)	0.26174(30)	0.11943(11)	0.03589(11)
1790000000	1.94339(92)	0.55191(36)	0.26174(30)	0.11943(11)	0.03589(11)
1795000000	1.94337(87)	0.55195(36)	0.26175(31)	0.11943(11)	0.03589(11)
1800000000	1.94347(88)	0.55198(35)	0.26176(30)	0.119431(100)	0.03589(11)
1805000000	1.94346(88)	0.55199(35)	0.26177(31)	0.119438(99)	0.03589(11)
1810000000	1.94349(87)	0.55198(35)	0.26177(31)	0.119442(99)	0.03589(11)
1815000000	1.94343(88)	0.55198(35)	0.26176(30)	0.119443(99)	0.03589(11)
1820000000	1.94351(94)	0.55196(35)	0.26176(30)	0.119439(100)	0.03590(11)
1825000000	1.94333(93)	0.55193(35)	0.26178(30)	0.119440(99)	0.03590(11)
1830000000	1.94345(93)	0.55197(36)	0.26180(30)	0.11943(11)	0.03590(11)
1835000000	1.94351(92)	0.55196(36)	0.26180(30)	0.11943(11)	0.03590(11)
1840000000	1.94349(90)	0.55192(36)	0.26181(31)	0.119426(99)	0.03590(11)
1845000000	1.94356(90)	0.55192(36)	0.26181(31)	0.119430(98)	0.03590(11)
1850000000	1.94363(88)	0.55191(36)	0.26179(31)	0.119433(100)	0.03590(11)
1855000000	1.94355(89)	0.55193(36)	0.26180(32)	0.119433(99)	0.03590(11)
1860000000	1.94358(89)	0.55196(36)	0.26179(32)	0.119430(100)	0.03590(11)
1865000000	1.94361(88)	0.55199(36)	0.26180(32)	0.11943(11)	0.03591(11)
1870000000	1.94354(90)	0.55198(36)	0.26182(32)	0.11943(11)	0.03591(11)
1875000000	1.94358(87)	0.55199(36)	0.26183(32)	0.11944(11)	0.03591(11)
1880000000	1.94358(86)	0.55198(36)	0.26183(32)	0.11944(11)	0.03591(11)
1885000000	1.94359(86)	0.55193(36)	0.26183(32)	0.11944(11)	0.03591(11)
1890000000	1.94365(84)	0.55193(35)	0.26183(32)	0.11944(11)	0.03591(11)
1895000000	1.94356(89)	0.55194(35)	0.26184(32)	0.11944(11)	0.03592(11)
1900000000	1.94358(92)	0.55192(35)	0.26184(32)	0.11945(11)	0.03592(11)
1905000000	1.94361(92)	0.55194(35)	0.26183(32)	0.11945(11)	0.03592(11)
1910000000	1.94358(95)	0.55196(36)	0.26183(33)	0.11945(11)	0.03592(11)
1915000000	1.94360(92)	0.55197(37)	0.26185(33)	0.11945(11)	0.03592(12)
1920000000	1.94363(93)	0.55198(38)	0.26185(33)	0.11945(11)	0.03593(12)
1925000000	1.94351(94)	0.55198(38)	0.26186(33)	0.11945(11)	0.03593(12)
1930000000	1.94353(96)	0.55195(37)	0.26185(33)	0.11945(12)	0.03592(12)
1935000000	1.94359(97)	0.55194(36)	0.26185(33)	0.11946(12)	0.03592(12)
1940000000	1.94348(94)	0.55194(37)	0.26185(32)	0.11946(12)	0.03592(12)
1945000000	1.94345(94)	0.55198(38)	0.26184(33)	0.11946(12)	0.03592(12)
1950000000	1.94333(100)	0.55198(37)	0.26183(32)	0.11947(12)	0.03592(12)
1955000000	1.94345(95)	0.55196(37)	0.26181(32)	0.11948(12)	0.03592(12)
1960000000	1.94348(93)	0.55193(36)	0.26181(32)	0.11948(12)	0.03592(12)
1965000000	1.94350(91)	0.55197(37)	0.26181(32)	0.11949(12)	0.03592(12)
1970000000	1.94348(90)	0.55197(36)	0.26182(32)	0.11949(12)	0.03592(12)
1975000000	1.94348(90)	0.55195(37)	0.26181(32)	0.11950(12)	0.03592(12)
1980000000	1.94348(92)	0.55194(36)	0.26180(32)	0.11950(12)	0.03592(12)
1985000000	1.94340(92)	0.55196(37)	0.26179(32)	0.11951(12)	0.03592(12)
1990000000	1.94331(93)	0.55196(36)	0.26178(32)	0.11951(12)	0.03592(12)
1995000000	1.94323(91)	0.55195(36)	0.26179(32)	0.11951(12)	0.03592(12)
2000000000	1.94327(94)	0.55196(37)	0.26180(33)	0.11951(13)	0.03592(12)
2005000000	1.94324(96)	0.55196(37)	0.26180(32)	0.11952(13)	0.03593(12)
2010000000	1.94320(96)	0.55196(38)	0.26181(32)	0.11951(13)	0.03592(12)
2015000000	1.94328(91)	0.55195(38)	0.26183(32)	0.11951(13)	0.03592(12)
2020000000	1.94328(92)	0.55194(39)	0.26184(33)	0.11951(13)	0.03592(12)
2025000000	1.94324(95)	0.55196(39)	0.26184(32)	0.11952(13)	0.03592(12)
2030000000	1.94321(92)	0.55191(38)	0.26186(32)	0.11953(13)	0.03592(12)
2035000000	1.94332(93)	0.55192(39)	0.26184(32)	0.11952(13)	0.03593(12)
2040000000	1.94341(92)	0.55191(40)	0.26184(32)	0.11952(13)	0.03593(12)
2045000000	1.94343(92)	0.55193(40)	0.26184(32)	0.11952(13)	0.03593(12)
2050000000	1.94344(96)	0.55192(40)	0.26184(32)	0.11952(13)	0.03593(12)
2055000000	1.94351(98)	0.55191(40)	0.26183(31)	0.11951(13)	0.03593(12)
2060000000	1.9435(11)	0.55194(41)	0.26184(31)	0.11951(13)	0.03593(12)
2065000000	1.94339(100)	0.55193(41)	0.26184(31)	0.11953(13)	0.03593(12)
2070000000	1.9434(11)	0.55192(40)	0.26186(31)	0.11953(13)	0.03593(12)
2075000000	1.94340(100)	0.55190(39)	0.26185(30)	0.11953(13)	0.03593(11)
2080000000	1.9433(11)	0.55189(40)	0.26185(31)	0.11953(13)	0.03593(11)
2085000000	1.9434(11)	0.55191(40)	0.26187(31)	0.11953(13)	0.03593(11)
2090000000	1.9434(11)	0.55190(40)	0.26187(31)	0.11953(13)	0.03593(11)
2095000000	1.9433(11)	0.55186(40)	0.26186(31)	0.11953(13)	0.03593(11)
2100000000	1.9433(11)	0.55186(41)	0.26186(31)	0.11953(13)	0.03593(11)
2105000000	1.94327(99)	0.55183(40)	0.26185(31)	0.11954(13)	0.03592(11)
2110000000	1.94313(98)	0.55181(40)	0.26186(30)	0.11954(14)	0.03592(11)
2115000000	1.94313(97)	0.55181(39)	0.26187(30)	0.11954(14)	0.03592(11)
2120000000	1.94316(97)	0.55181(40)	0.26187(30)	0.11954(14)	0.03592(11)
2125000000	1.94323(93)	0.55182(41)	0.26187(30)	0.11954(14)	0.03592(11)
2130000000	1.94316(94)	0.55183(41)	0.26187(30)	0.11955(14)	0.03592(11)
2135000000	1.94308(97)	0.55183(42)	0.26187(30)	0.11955(14)	0.03591(11)
2140000000	1.94295(96)	0.55181(43)	0.26186(30)	0.11955(14)	0.03591(11)
2145000000	1.94285(98)	0.55182(44)	0.26187(29)	0.11956(14)	0.03591(11)
2150000000	1.94294(100)	0.55186(45)	0.26187(30)	0.11956(14)	0.03591(11)
2155000000	1.94283(99)	0.55187(44)	0.26186(30)	0.11956(14)	0.03591(11)
2160000000	1.94274(99)	0.55187(43)	0.26185(30)	0.11956(14)	0.03591(11)
2165000000	1.9426(11)	0.55188(43)	0.26185(31)	0.11957(14)	0.03591(11)
2170000000	1.9427(11)	0.55187(42)	0.26186(31)	0.11957(14)	0.03591(11)
2175000000	1.9427(11)	0.55189(43)	0.26187(31)	0.11958(14)	0.03591(11)
2180000000	1.9426(11)	0.55186(42)	0.26187(31)	0.11958(14)	0.03591(11)
2185000000	1.9425(11)	0.55186(43)	0.26187(32)	0.11958(15)	0.03591(11)
2190000000	1.9426(11)	0.55185(43)	0.26188(32)	0.11957(15)	0.03591(11)
2195000000	1.9426(11)	0.55187(43)	0.26187(32)	0.11958(15)	0.03591(11)
2200000000	1.9426(11)	0.55188(43)	0.26187(32)	0.11958(15)	0.03591(11)
2205000000	1.9425(11)	0.55184(43)	0.26188(32)	0.11958(15)	0.03591(11)
2210000000	1.9426(11)	0.55184(44)	0.26189(32)	0.11958(15)	0.03591(11)
2215000000	1.9426(11)	0.55185(44)	0.26188(32)	0.11958(15)	0.03591(11)
2220000000	1.9426(12)	0.55185(44)	0.26189(32)	0.11958(15)	0.03590(11)
2225000000	1.9427(11)	0.55185(44)	0.26190(31)	0.11958(15)	0.03590(11)
2230000000	1.9426(11)	0.55182(46)	0.26191(31)	0.11958(15)	0.035901(100)
2235000000	1.9426(11)	0.55180(46)	0.26190(31)	0.11958(15)	0.035900(99)
2240000000	1.9425(11)	0.55177(46)	0.26190(31)	0.11958(15)	0.035899(100)
2245000000	1.9426(11)	0.55177(46)	0.26191(31)	0.11958(15)	0.035899(100)
2250000000	1.9425(11)	0.55179(46)	0.26191(31)	0.11958(15)	0.035900(100)
2255000000	1.9426(12)	0.55176(45)	0.26192(31)	0.11958(15)	0.03590(11)
2260000000	1.9428(12)	0.55178(45)	0.26192(31)	0.11958(15)	0.03590(11)
2265000000	1.9426(12)	0.55182(46)	0.26193(31)	0.11959(15)	0.03590(11)
2270000000	1.9427(12)	0.55182(46)	0.26191(31)	0.11960(15)	0.03591(11)
2275000000	1.9427(12)	0.55181(46)	0.26190(32)	0.11960(15)	0.03591(11)
2280000000	1.9429(12)	0.55179(47)	0.26190(32)	0.11960(15)	0.03590(11)
2285000000	1.9430(13)	0.55182(47)	0.26190(32)	0.11960(15)	0.035905(100)
2290000000	1.9430(12)	0.55181(47)	0.26190(32)	0.11960(15)	0.035906(100)
2295000000	1.9429(13)	0.55178(46)	0.26190(32)	0.11960(15)	0.035903(100)
2300000000	1.9428(13)	0.55179(47)	0.26190(32)	0.11960(15)	0.035903(99)
2305000000	1.9429(13)	0.55178(48)	0.26192(32)	0.11960(15)	0.035901(99)
2310000000	1.9428(12)	0.55179(48)	0.26193(32)	0.11959(15)	0.035899(99)
2315000000	1.9429(13)	0.55180(48)	0.26193(32)	0.11959(15)	0.035897(100)
2320000000	1.9429(13)	0.55179(47)	0.26193(32)	0.11959(15)	0.035897(100)
2325000000	1.9429(13)	0.55179(47)	0.26193(32)	0.11959(16)	0.035898(100)
2330000000	1.9428(13)	0.55183(47)	0.26194(32)	0.11959(16)	0.03590(11)
2335000000	1.9429(13)	0.55183(46)	0.26194(32)	0.11958(16)	0.03590(11)
2340000000	1.9429(13)	0.55184(47)	0.26195(32)	0.11958(16)	0.03590(11)
2345000000	1.9429(13)	0.55182(47)	0.26197(32)	0.11957(16)	0.03590(11)
2350000000	1.9429(13)	0.55181(46)	0.26197(33)	0.11957(16)	0.03590(11)
2355000000	1.9428(13)	0.55179(45)	0.26197(33)	0.11958(16)	0.03590(11)
2360000000	1.9428(13)	0.55179(45)	0.26198(33)	0.11958(16)	0.03590(11)
2365000000	1.9428(13)	0.55180(46)	0.26199(33)	0.11958(16)	0.03590(11)
2370000000	1.9429(13)	0.55181(45)	0.26200(33)	0.11958(16)	0.03589(11)
2375000000	1.9428(13)	0.55184(44)	0.26201(32)	0.11958(16)	0.03589(11)
2380000000	1.9428(13)	0.55179(44)	0.26203(32)	0.11958(17)	0.03589(11)
2385000000	1.9428(14)	0.55175(45)	0.26201(32)	0.11959(17)	0.03589(11)
2390000000	1.9427(14)	0.55175(45)	0.26201(32)	0.11959(17)	0.03589(11)
2395000000	1.9428(14)	0.55175(44)	0.26201(32)	0.11959(17)	0.035885(100)
2400000000	1.9428(14)	0.55174(43)	0.26202(32)	0.11960(17)	0.035885(99)
2405000000	1.9428(14)	0.55170(43)	0.26202(31)	0.11960(18)	0.035884(99)
2410000000	1.9428(14)	0.55166(43)	0.26203(31)	0.11960(18)	0.035884(99)
2415000000	1.9429(14)	0.55166(42)	0.26203(31)	0.11960(18)	0.035883(99)
2420000000	1.9430(14)	0.55166(41)	0.26203(31)	0.11960(18)	0.035883(98)
2425000000	1.9431(13)	0.55165(41)	0.26205(31)	0.11959(18)	0.035883(98)
2430000000	1.9430(13)	0.55166(41)	0.26205(31)	0.11959(18)	0.035882(98)
2435000000	1.9431(13)	0.55166(41)	0.26206(31)	0.11960(18)	0.035883(98)
2440000000	1.9431(14)	0.55164(40)	0.26206(32)	0.11960(18)	0.035881(97)
2445000000	1.9431(14)	0.55168(40)	0.26207(32)	0.11960(18)	0.035878(96)
2450000000	1.9430(13)	0.55166(40)	0.26207(32)	0.11960(18)	0.035879(96)
2455000000	1.9431(13)	0.55165(39)	0.26207(32)	0.11959(18)	0.035878(96)
2460000000	1.9431(14)	0.55167(40)	0.26207(32)	0.11959(18)	0.035879(96)
2465000000	1.9431(14)	0.55168(39)	0.26207(32)	0.11958(18)	0.035878(96)
2470000000	1.9431(14)	0.55171(38)	0.26207(32)	0.11959(18)	0.035876(97)
2475000000	1.9430(14)	0.55171(38)	0.26207(32)	0.11958(18)	0.035877(97)
2480000000	1.9431(14)	0.55172(37)	0.26207(32)	0.11957(18)	0.035878(96)
2485000000	1.9430(14)	0.55172(38)	0.26207(32)	0.11956(18)	0.035877(97)
2490000000	1.9431(14)	0.55172(38)	0.26207(32)	0.11956(18)	0.035877(96)
2495000000	1.9431(14)	0.55174(38)	0.26206(32)	0.11956(18)	0.035876(96)
2500000000	1.9430(14)	0.55172(38)	0.26206(32)	0.11956(18)	0.035875(96)
