\multicolumn{1}{c}{$C$}	\multicolumn{1}{c}{$D$, $d^*=0,1$}	\multicolumn{1}{c}{$D$, $d^*=0,3$}	\multicolumn{1}{c}{$D$, $d^*=0,5$}	\multicolumn{1}{c}{$D$, $d^*=0,7$}	\multicolumn{1}{c}{$D$, $d^*=0,9$}
100000000	1.93656(72)	0.54349(25)	0.25400(20)	0.11471(12)	0.035169(29)
200000000	1.9413(11)	0.54724(24)	0.25708(19)	0.11658(14)	0.035363(41)
300000000	1.94272(70)	0.54860(20)	0.25857(18)	0.11740(14)	0.035486(58)
400000000	1.94329(62)	0.54955(21)	0.25935(20)	0.117877(95)	0.035564(46)
500000000	1.94404(81)	0.55003(22)	0.25977(18)	0.11823(11)	0.035653(49)
600000000	1.94397(70)	0.55036(20)	0.26024(20)	0.11854(13)	0.035708(41)
700000000	1.94356(69)	0.55073(23)	0.26065(17)	0.11878(12)	0.035726(40)
800000000	1.94362(62)	0.55091(20)	0.26093(16)	0.11892(11)	0.035733(47)
900000000	1.94324(65)	0.55114(20)	0.26115(15)	0.11899(11)	0.035740(54)
1000000000	1.94323(82)	0.55143(24)	0.26140(18)	0.11907(11)	0.035765(62)
1100000000	1.94313(48)	0.55162(24)	0.26152(21)	0.11916(11)	0.035774(58)
1200000000	1.94357(68)	0.55176(25)	0.26163(20)	0.11919(11)	0.035782(49)
1300000000	1.94369(64)	0.55184(24)	0.26176(19)	0.11922(12)	0.035792(51)
1400000000	1.94390(57)	0.55186(25)	0.26185(20)	0.11924(12)	0.035822(56)
1500000000	1.94438(62)	0.55194(23)	0.26191(22)	0.11932(12)	0.035845(54)
1600000000	1.94450(68)	0.55188(25)	0.26201(24)	0.11939(13)	0.035860(49)
1700000000	1.94435(70)	0.55195(22)	0.26204(24)	0.11943(14)	0.035860(45)
1800000000	1.94441(65)	0.55204(22)	0.26206(21)	0.11950(15)	0.035858(40)
1900000000	1.94459(65)	0.55223(25)	0.26205(20)	0.11953(14)	0.035856(33)
2000000000	1.94459(56)	0.55226(26)	0.26208(22)	0.11954(15)	0.035866(24)
2100000000	1.94434(47)	0.55233(24)	0.26213(21)	0.11954(15)	0.035861(19)
2200000000	1.94438(58)	0.55232(21)	0.26215(23)	0.11954(14)	0.035864(20)
2300000000	1.94431(73)	0.55245(21)	0.26219(23)	0.11956(14)	0.035865(25)
2400000000	1.94429(69)	0.55251(21)	0.26225(22)	0.11958(15)	0.035860(30)
2500000000	1.94434(70)	0.55248(19)	0.26233(24)	0.11962(15)	0.035853(29)
2600000000	1.94462(83)	0.55233(18)	0.26243(22)	0.11961(14)	0.035849(32)
2700000000	1.94478(77)	0.55229(18)	0.26255(21)	0.11962(13)	0.035843(39)
2800000000	1.94478(76)	0.55226(19)	0.26259(19)	0.11961(12)	0.035843(42)
2900000000	1.94462(78)	0.55225(20)	0.26261(17)	0.11960(12)	0.035831(42)
3000000000	1.94460(66)	0.55228(22)	0.26266(17)	0.11960(11)	0.035824(40)
3100000000	1.94451(64)	0.55238(21)	0.26264(17)	0.11961(11)	0.035819(41)
3200000000	1.94458(64)	0.55245(22)	0.26261(16)	0.119623(100)	0.035812(44)
3300000000	1.94486(69)	0.55248(21)	0.26261(18)	0.119652(97)	0.035799(47)
3400000000	1.94477(77)	0.55250(20)	0.26262(18)	0.119687(94)	0.035798(49)
3500000000	1.94482(82)	0.55255(19)	0.26262(16)	0.119710(94)	0.035800(50)
3600000000	1.94474(86)	0.55259(18)	0.26260(15)	0.119714(89)	0.035798(52)
3700000000	1.94471(97)	0.55253(20)	0.26259(14)	0.119708(95)	0.035819(53)
3800000000	1.94475(96)	0.55242(21)	0.26261(15)	0.119713(88)	0.035832(54)
3900000000	1.9447(11)	0.55234(20)	0.26260(16)	0.119733(86)	0.035830(55)
4000000000	1.9446(11)	0.55237(20)	0.26261(17)	0.119728(84)	0.035827(59)
4100000000	1.9445(11)	0.55233(21)	0.26259(17)	0.119719(85)	0.035834(60)
4200000000	1.94445(100)	0.55245(23)	0.26263(16)	0.119708(81)	0.035841(61)
4300000000	1.9444(11)	0.55245(24)	0.26266(16)	0.119716(78)	0.035849(61)
4400000000	1.94439(96)	0.55239(23)	0.26267(16)	0.119724(82)	0.035857(62)
4500000000	1.94441(98)	0.55235(25)	0.26270(16)	0.119717(82)	0.035861(62)
4600000000	1.9445(11)	0.55240(26)	0.26274(15)	0.119727(78)	0.035863(61)
4700000000	1.9443(11)	0.55239(25)	0.26275(15)	0.119739(73)	0.035856(60)
4800000000	1.9441(11)	0.55240(25)	0.26275(14)	0.119750(76)	0.035851(59)
4900000000	1.94396(97)	0.55240(25)	0.26272(15)	0.119754(69)	0.035850(56)
5000000000	1.94376(94)	0.55238(27)	0.26267(14)	0.119765(62)	0.035847(54)
